DictWordID,PojUnicode,PojInput,KipUnicode,KipInput,HanLoTaibunPoj,PageNumber,PojNormalized,KipNormalized
1088,Saⁿ-kha-pih,Sann-kha-pih,Sann-kha-pih,Sann-kha-pih,三角鼈,285,Sa-kha-pih,Sann-kha-pih
1089,Io̍h-hó͘,Ioh8-hoo2,Io̍h-hóo,Ioh8-hoo2,藥虎,285,Ioh-ho,Ioh-hoo
1090,Saⁿ-kha-pòa,Sann-kha-poa3,Sann-kha-puà,Sann-kha-pua3,三角破,285,Sa-kha-poa,Sann-kha-pua
1091,Bí-nâ-chháu,Bi2-na5-chhau2,Bí-nâ-tsháu,Bi2-na5-tshau2,米籃草,285,Bi-na-chhau,Bi-na-tshau
1092,Sù-bî-chháu,Su3-bi5-chhau2,Sù-bî-tsháu,Su3-bi5-tshau2,絮薇草,285,Su-bi-chhau,Su-bi-tshau
1093,Bō-á-tún,Bo7-a2-tun2,Bō-á-tún,Bo7-a2-tun2,帽仔盾,285,Bo-a-tun,Bo-a-tun
1094,Tò-tiàu-hong,To3-tiau3-hong,Tò-tiàu-hong,To3-tiau3-hong,倒？風,285,To-tiau-hong,To-tiau-hong
1095,Sù-bí-chháu,Su3-bi2-chhau2,Sù-bí-tsháu,Su3-bi2-tshau2,四米草,285,Su-bi-chhau,Su-bi-tshau
1096,Géng-á-tún-chháu,Geng2-a2-tun2-chhau2,Gíng-á-tún-tsháu,Ging2-a2-tun2-tshau2,研仔盾草,285,Geng-a-tun-chhau,Ging-a-tun-tshau
1097,Phoh-á-chháu,Phoh-a2-chhau2,Phoh-á-tsháu,Phoh-a2-tshau2,朴仔草,285,Phoh-a-chhau,Phoh-a-tshau
1098,Bō-á-tùn-chháu,Bo7-a2-tun3-chhau2,Bō-á-tùn-tsháu,Bo7-a2-tun3-tshau2,帽仔盾草,285,Bo-a-tun-chhau,Bo-a-tun-tshau
1099,Bō-á-tún-chháu,Bo7-a2-tun2-chhau2,Bō-á-tún-tsháu,Bo7-a2-tun2-tshau2,磨仔盾草,285,Bo-a-tun-chhau,Bo-a-tun-tshau
1100,Soaⁿ-phû-iông,Soann-phu5-iong5,Suann-phû-iông,Suann-phu5-iong5,山芙蓉,286,Soa-phu-iong,Suann-phu-iong
1101,Káu-thâu-phû-iông,Kau2-thau5-phu5-iong5,Káu-thâu-phû-iông,Kau2-thau5-phu5-iong5,狗頭芙蓉,286,Kau-thau-phu-iong,Kau-thau-phu-iong
1102,Phû-iông,Phu5-iong5,Phû-iông,Phu5-iong5,芙蓉,286,Phu-iong,Phu-iong
1103,Hû-song-hoe,Hu5-song-hoe,Hû-song-hue,Hu5-song-hue,扶桑花,286,Hu-song-hoe,Hu-song-hue
1104,Tōa-âng-hoe,Toa7-ang5-hoe,Tuā-âng-hue,Tua7-ang5-hue,大紅花,286,Toa-ang-hoe,Tua-ang-hue
1105,Chiú-gím-hoe,Chiu2-gim2-hoe,Tsiú-gím-hue,Tsiu2-gim2-hue,水錦花,286,Chiu-gim-hoe,Tsiu-gim-hue
1106,Pe̍h-chúi-gím-hoe,Peh8-chui2-gim2-hoe,Pe̍h-tsuí-gím-hue,Peh8-tsui2-gim2-hue,白水錦花,286,Peh-chui-gim-hoe,Peh-tsui-gim-hue
1107,Phoh-á,Phoh-a2,Phoh-á,Phoh-a2,朴仔,286,Phoh-a,Phoh-a
1108,Ké-hio̍h,Ke2-hioh8,Ké-hio̍h,Ke2-hioh8,菓葉、粿葉,286,Ke-hioh,Ke-hioh
1109,Iâm-chúi-bīn-thâu-ké,Iam5-chui2-bin7-thau5-ke2,Iâm-tsuí-bīn-thâu-ké,Iam5-tsui2-bin7-thau5-ke2,鹽水面頭菓,286,Iam-chui-bin-thau-ke,Iam-tsui-bin-thau-ke
1110,N̂g-chúi,Ng5-chui2,N̂g-tsuí,Ng5-tsui2,黃槿,286,N̂g-chui,N̂g-tsui
1111,Tōa-hō-suh-huih-á-chháu,Toa7-ho7-suh-huih-a2-chhau2,Tuā-hō-suh-huih-á-tsháu,Tua7-ho7-suh-huih-a2-tshau2,大號嗽血仔草,287,Toa-ho-suh-huih-a-chhau,Tua-ho-suh-huih-a-tshau
1112,Kúi-liú-kun,Kui2-liu2-kun,Kuí-liú-kun,Kui2-liu2-kun,鬼柳根,287,Kui-liu-kun,Kui-liu-kun
1113,Sù-bí-chháu,Su3-bi2-chhau2,Sù-bí-tsháu,Su3-bi2-tshau2,賜米草,287,Su-bi-chhau,Su-bi-tshau
1114,Khiā-á-suh-huih-á,Khia7-a2-suh-huih-a2,Khiā-á-suh-huih-á,Khia7-a2-suh-huih-a2,竪仔嗽血仔,287,Khia-a-suh-huih-a,Khia-a-suh-huih-a
1115,Îⁿ-hio̍h-suh-huih-chháu,Inn5-hioh8-suh-huih-chhau2,Înn-hio̍h-suh-huih-tsháu,Inn5-hioh8-suh-huih-tshau2,圓葉嗽血草,287,I-hioh-suh-huih-chhau,Inn-hioh-suh-huih-tshau
1116,Sòa-hō-suh-huih--á-chháu,Soa3-ho7-suh-huih--a2-chhau2,Suà-hō-suh-huih--á-tsháu,Sua3-ho7-suh-huih--a2-tshau2,小號嗽血仔草,287,Soa-ho-suh-huih--a-chhau,Sua-ho-suh-huih--a-tshau
1117,Sat-bú-chí-chháu,Sat-bu2-chi2-chhau2,Sat-bú-tsí-tsháu,Sat-bu2-tsi2-tshau2,虱母子草,288,Sat-bu-chi-chhau,Sat-bu-tsi-tshau
1118,Sat-bú-chí,Sat-bu2-chi2,Sat-bú-tsí,Sat-bu2-tsi2,虱母子,288,Sat-bu-chi,Sat-bu-tsi
1119,Pan-chi-chhiū,Pan-chi-chhiu7,Pan-tsi-tshiū,Pan-tsi-tshiu7,班芝樹,288,Pan-chi-chhiu,Pan-tsi-tshiu
1120,Kó-bo̍k,Ko2-bok8,Kó-bo̍k,Ko2-bok8,？木,288,Ko-bok,Ko-bok
1121,Ka-po̍h-mî,Ka-poh8-mi5,Ka-po̍h-mî,Ka-poh8-mi5,加薄棉,288,Ka-poh-mi,Ka-poh-mi
1122,Chhiⁿ-tông,Chhinn-tong5,Tshinn-tông,Tshinn-tong5,青桐,288,Chhi-tong,Tshinn-tong
1123,Ngô͘-tông,Ngoo5-tong5,Ngôo-tông,Ngoo5-tong5,梧桐,288,Ngo-tong,Ngoo-tong
1124,Khó͘-môa,Khoo2-moa5,Khóo-muâ,Khoo2-mua5,苦麻,288,Kho-moa,Khoo-mua
1125,Tōa-pe̍h-hio̍h-á,Toa7-peh8-hioh8-a2,Tuā-pe̍h-hio̍h-á,Tua7-peh8-hioh8-a2,大白葉仔,288,Toa-peh-hioh-a,Tua-peh-hioh-a
1126,Bīn-thâu-ké,Bin7-thau5-ke2,Bīn-thâu-ké,Bin7-thau5-ke2,面頭菓,289,Bin-thau-ke,Bin-thau-ke
1127,Chhe-thâu-hêng,Chhe-thau5-heng5,Tshe-thâu-hîng,Tshe-thau5-hing5,栖頭恒,289,Chhe-thau-heng,Tshe-thau-hing
1128,Teng-á-chháu,Teng-a2-chhau2,Ting-á-tsháu,Ting-a2-tshau2,燈仔草,289,Teng-a-chhau,Ting-a-tshau
1129,Chhèng-chhn̂g-lâm,Chheng3-chhng5-lam5,Tshìng-tshn̂g-lâm,Tshing3-tshng5-lam5,銃床楠,289,Chheng-chhn̂g-lam,Tshing-tshn̂g-lam
1130,Pîn-pô,Pin5-po5,Pîn-pô,Pin5-po5,蘋婆,289,Pin-po,Pin-po
1131,Chúi-tang-koe,Chui2-tang-koe,Tsuí-tang-kue,Tsui2-tang-kue,水冬瓜,290,Chui-tang-koe,Tsui-tang-kue
1132,Chúi-kóng-sim,Chui2-kong2-sim,Tsuí-kóng-sim,Tsui2-kong2-sim,水管心,290,Chui-kong-sim,Tsui-kong-sim
1133,Tōa-phàⁿ-chhiū,Toa7-phann3-chhiu7,Tuā-phànn-tshiū,Tua7-phann3-tshiu7,大有樹,290,Toa-pha-chhiu,Tua-phann-tshiu
1134,Tò-tiàu-hong,To3-tiau3-hong,Tò-tiàu-hong,To3-tiau3-hong,倒？風,290,To-tiau-hong,To-tiau-hong
1135,Gû-sái-tê,Gu5-sai2-te5,Gû-sái-tê,Gu5-sai2-te5,牛屎茶,291,Gu-sai-te,Gu-sai-te
1136,Âng-tām,Ang5-tam7,Âng-tām,Ang5-tam7,紅淡,291,Ang-tam,Ang-tam
1137,Tê-mûi,Te5-mui5,Tê-muî,Te5-mui5,茶梅,292,Te-mui,Te-mui
1138,Khó͘-tê,Khoo2-te5,Khóo-tê,Khoo2-te5,苦茶,292,Kho-te,Khoo-te
1139,Iû-tê-chhiū,Iu5-te5-chhiu7,Iû-tê-tshiū,Iu5-te5-tshiu7,油茶樹,292,Iu-te-chhiu,Iu-te-tshiu
1140,O͘-phê-tê,Oo-phe5-te5,Oo-phê-tê,Oo-phe5-te5,烏皮茶,292,O-phe-te,Oo-phe-te
1141,Gû-sái-tê,Gu5-sai2-te5,Gû-sái-tê,Gu5-sai2-te5,牛屎茶,292,Gu-sai-te,Gu-sai-te
1142,Iû-tê,Iu5-te5,Iû-tê,Iu5-te5,油茶,292,Iu-te,Iu-te
1143,Tê,Te5,Tê,Te5,茶,293,Te,Te
1144,Soaⁿ-tê,Soann-te5,Suann-tê,Suann-te5,山茶,293,Soa-te,Suann-te
1145,Soaⁿ-tê-á,Soann-te5-a2,Suann-tê-á,Suann-te5-a2,山茶仔,293,Soa-te-a,Suann-te-a
1146,Iû-tê,Iu5-te5,Iû-tê,Iu5-te5,油茶,293,Iu-te,Iu-te
1147,Iû-hio̍h-tê,Iu5-hioh8-te5,Iû-hio̍h-tê,Iu5-hioh8-te5,油葉茶,293,Iu-hioh-te,Iu-hioh-te
1148,Iû-bo̍k,Iu5-bok8,Iû-bo̍k,Iu5-bok8,油木,293,Iu-bok,Iu-bok
1149,Tōa-thâu-tê,Toa7-thau5-te5,Tuā-thâu-tê,Tua7-thau5-te5,大頭茶,293,Toa-thau-te,Tua-thau-te
1150,Koaⁿ-á-phê,Koann-a2-phe5,Kuann-á-phê,Kuann-a2-phe5,杆仔皮,294,Koa-a-phe,Kuann-a-phe
1151,Hò-siū,Ho3-siu7,Hò-siū,Ho3-siu7,荷樹,294,Ho-siu,Ho-siu
1152,Hò,Ho3,Hò,Ho3,荷,294,Ho,Ho
1153,Ko-poe,Ko-poe,Ko-pue,Ko-pue,高杯,294,Ko-poe,Ko-pue
1154,Kó-á,Ko2-a2,Kó-á,Ko2-a2,？仔,294,Ko-a,Ko-a
1155,Âng-chhâ,Ang5-chha5,Âng-tshâ,Ang5-tsha5,紅柴,294,Ang-chha,Ang-tsha
1156,Âng-tām-pí,Ang5-tam7-pi2,Âng-tām-pí,Ang5-tam7-pi2,紅淡比,294,Ang-tam-pi,Ang-tam-pi
1157,Âng-kāu-khak,Ang5-kau7-khak,Âng-kāu-khak,Ang5-kau7-khak,紅厚殼,294,Ang-kau-khak,Ang-kau-khak
1158,Thih-tiò-koaⁿ,Thih-tio3-koann,Thih-tiò-kuann,Thih-tio3-kuann,鐵釣竿,295,Thih-tio-koa,Thih-tio-kuann
1159,N̂g-hoe-á-chháu,Ng5-hoe-a2-chhau2,N̂g-hue-á-tsháu,Ng5-hue-a2-tshau2,黃花仔草,295,N̂g-hoe-a-chhau,N̂g-hue-a-tshau
1160,It-ki-hiuⁿ,It-ki-hiunn,It-ki-hiunn,It-ki-hiunn,一枝香,295,It-ki-hiu,It-ki-hiunn
1161,Chhut-seng-láu,Chhut-seng-lau2,Tshut-sing-láu,Tshut-sing-lau2,出生老,295,Chhut-seng-lau,Tshut-sing-lau
1162,Tōa-hoan-hûn,Toa7-hoan-hun5,Tuā-huan-hûn,Tua7-huan-hun5,大翻魂,295,Toa-hoan-hun,Tua-huan-hun
1163,Sàm-liú,Sam3-liu2,Sàm-liú,Sam3-liu2,？柳,296,Sam-liu,Sam-liu
1164,Tê-sî-hông,Te5-si5-hong5,Tê-sî-hông,Te5-si5-hong5,茶匙黃,297,Te-si-hong,Te-si-hong
1165,Èng-chhài-hông,Eng3-chhai3-hong5,Ìng-tshài-hông,Ing3-tshai3-hong5,甕菜黃,298,Eng-chhai-hong,Ing-tshai-hong
