Id,Afrikaans,AfrikaansIPA,English
230,"Est","/ˈɛst/","Estonian"
231,"Estland","/ˈɛstlɐnt/","Estonia"
232,"Ests","/ˈɛsts/","Estonian"
233,"Ethiopië","/ˈɛthiˌʊəpiəiəə/","Abyssinia, Ethiopia"
234,"Ethiopiër","/ˈɛthiˌʊəpiəiər/","Ethiopian"
235,"Etruries","/ˈɛtryrˌis/","Etrurian, Etruscan"
236,"Etrurië","/ˈɛtryrˌiəiəə/","Etruria"
237,"Etruriër","/ˈɛtryrˌiəiər/","Etrurian, Etruscan"
238,"Etruskies","/ˈɛtrœskˌis/","Etrurian, Etruscan"
239,"Eufraat","/ˈøəfrɑːt/","Euphrates"
240,"Europa","/øərˈʊəpɐ/","1. Europe❄2. Europa"
241,"Europeaan","/øərʊəpˈiəɑːn/","European"
242,"Europees","/øərʊəpˈiəs/","European"
243,"Europese","/øərʊəpˈiəsə/","European bizon, wisent"
244,"Europeër","/øərʊəpˈiər/","European"
245,"Eva","/ˈiəfɐ/","Eva"
246,"Februarie","/fˈiəbryˌɑːri/","February"
247,"Filippyns","/fələpˈɛɪns/","Philippine"
248,"Filistyn","/fələstˈɛɪn/","Philistine"
249,"Fin","/fˈən/","Finn"
250,"Finland","/fˈənlɐnt/","Finland"
251,"Finlander","/fˈənlɐndər/","Finn"
252,"Fins","/fˈəns/","Finnish"
253,"Frankeland","/frˈɐŋkiəlˌɐnt/","Franconia"
254,"Frankies","/frˈɐŋkis/","Frankish"
255,"Frankryk","/frˈɐŋkrɛɪk/","France"
256,"Frans","/frˈɑ̃ns/","1. French❄2. French language"
257,"Franse","/frˈɑ̃nsə/","French, French language"
258,"Fries","/frˈis/","Frisian"
259,"Friesland","/frˈislɐnt/","Friesland"
260,"Galicies","/xɐlˈisis/","Galician"
261,"Gallië","/xˈɐliəiəə/","Gaul"
262,"Genesis","/xˈiənəsəs/","Genesis"
263,"Geneve","/(en)dʒˈɛnɛv(af)/","Geneva"
264,"Gent","/xˈənt/","Ghent"
265,"Genua","/xənˈyɑː/","Genoa"
266,"Germaan","/xærmˈɑːn/","German, Teuton"
267,"Germaans","/xærmˈɑ̃ns/","Germanic, Teutonic"
268,"God","/xˈɔt/","God"
269,"Goeie","/xˈuɪə/","Good Friday"
270,"Goties","/xˈʊətis/","Gothic"
271,"Goudkus","/xˈəʊtkœs/","Gold Coast"
272,"Graal","/xrˈɑːl/","Grail"
273,"Griek","/xrˈik/","Greek"
274,"Griekeland","/xrˈikəlˌɐnt/","Greece"
275,"Grieks","/xrˈiks/","1. Greek❄2. Hellenian, Hellenic"
276,"Groenland","/xrˈunlɐnt/","Greenland"
277,"Groot‐Brittanje","/xrˈʊət brətˈɐnjə/","Britain, Great Britain"
278,"Guinee","/xˈøyniə/","Guinea"
279,"Gulde","/xˈœldə/","Golden Fleece"
280,"Havanna","/hˈɑːfɐnˌɐ/","Havana"
281,"Hawaiï","/hɐvˈaɪi/","Hawaii"
282,"Hawaïes","/hɐvˈɑːis/","Hawaiian"
283,"Haïti","/hˈɑːitˌi/","Haiti"
284,"Hebreeus","/hibrˈiuːs/","Hebrew, Jewish"
285,"Hebreër","/hibrˈiər/","Hebrew, Jew"
286,"Hebride","/hˈɛbridə/","Hebrides, Western Islands"
287,"Helleens","/hˈælliəns/","Hellenian, Hellenic"
288,"Hellespont","/hˈælləspˌɔnt/","Dardanelles, Hellespont"
289,"Helvesië","/hˈælfiəsˌiəiəə/","Helvetia"
290,"Hemelvaartdag","/hˈiəməlfˌɑːrtdɐx/","Ascension Day"
291,"Hindoe‐","/hˈindu/","Hindu"
292,"Hindoe","/hˈindu/","Hindu"
293,"Hindoes","/hˈindus/","Hindu"
294,"Holland","/hˈɔlɐnt/","Holland"
295,"Hollander","/hˈɔlɐndər/","Dutchman, Hollander"
296,"Hollands","/hˈɔlɐnts/","Dutch"
297,"Hongaar","/hɔŋxˈɑːr/","Hungarian"
298,"Hongaars","/hɔŋxˈɑːrs/","Hungarian"
299,"Hongarye","/hɔŋxɐrˈɛɪə/","Hungary"
300,"Hooglander","/hˈʊəxlɐndər/","Highlander"
