id,poj_unicode,poj_input,kip_unicode,kip_input,abbreviations,noun_classifiers,reduplication,hoabun,english,synonym,cf,page_number,poj_normalized
36050,thoat-hiám,thoat-hiam2,thuat-hiám,thuat-hiam2,VO,,,脫險,escape from danger,,,288,thoat-hiam
36051,thoat-hiùi,thoat-hiui3,thuat-hiuì,thuat-hiui3,V,,,脫軌,"jump the track, be derailed",,,288,thoat-hiui
36052,thoat-lī,thoat-li7,thuat-lī,thuat-li7,V,,,脫離,"escape, get away, get free",,,288,thoat-li
36053,thoat-lo̍h,thoat-loh8,thuat-lo̍h,thuat-loh8,V,,,脫落,"shed, drop off (clothing, chains, etc)",,,288,thoat-loh
36054,thoat-mn̂g,thoat-mng5,thuat-mn̂g,thuat-mng5,VO,,,脫毛,shed hair or feathers,,,288,thoat-mn̂g
36055,thoat-mo̍͘h,thoat-mooh8,thuat-mo̍oh,thuat-mooh8,N/Med,,,脫膜,decidua,,,288,thoat-moh
36056,thoat-phôe,thoat-phoe5,thuat-phuê,thuat-phue5,VO,,,脫皮,shed skin,,,288,thoat-phoe
36057,thoat-sio̍k,thoat-siok8,thuat-sio̍k,thuat-siok8,SV,,,脫俗,unconventional,,,288,thoat-siok
36058,thoat-sòaⁿ,thoat-soann3,thuat-suànn,thuat-suann3,VO,,,脫線,"jump the rails, be derailed",,,288,thoat-soa
36059,thoat-sòaⁿ,thoat-soann3,thuat-suànn,thuat-suann3,VO,,,脫線,"become side-tracked (in a lecture, etc)",,,288,thoat-soa
36060,thoat-tn̂g,thoat-tng5,thuat-tn̂g,thuat-tng5,V/N,,,脫腸,(have) a heria,,,288,thoat-tn̂g
36061,thòe,thoe3,thuè,thue3,V,,,替,substitute for,,,288,thoe
36062,thòe,thoe3,thuè,thue3,V,,,退,"withdraw (person, thing)",,,288,thoe
36063,thòe,thoe3,thuè,thue3,V,,,退,recede (water),,,288,thoe
36064,thòe,thoe3,thuè,thue3,V,,,退,go down (fever),,,288,thoe
36065,thòe,thoe3,thuè,thue3,V,,,退,lose (color),,,288,thoe
36066,thòe-āu,thoe3-au7,thuè-āu,thue3-au7,V,,,退後,"go back, retreat",,,288,thoe-au
36067,thòe-chit-kim,thoe3-chit-kim,thuè-tsit-kim,thue3-tsit-kim,N,,,退職金,lump sum paid on retirement,,,288,thoe-chit-kim
36068,thòe-chhiú,thoe3-chhiu2,thuè-tshiú,thue3-tshiu2,VO,,,替手,substitute for (someone),,,288,thoe-chhiu
36069,thòe-chhiú,thoe3-chhiu2,thuè-tshiú,thue3-tshiu2,N,ê,,替手,substitute worker,,,288,thoe-chhiu
36070,thòe-chhut,thoe3-chhut,thuè-tshut,thue3-tshut,V,,,退出,withdraw from (an organization),,,288,thoe-chhut
36071,thòe-ha̍k,thoe3-hak8,thuè-ha̍k,thue3-hak8,V,,,退學,drop out of school,,,288,thoe-hak
36072,thòe-ha̍k,thoe3-hak8,thuè-ha̍k,thue3-hak8,V,,,退學,be expelled from school,,,288,thoe-hak
36073,thòe-hêng,thoe3-heng5,thuè-hîng,thue3-hing5,V,,,退還,send back (goods),,,288,thoe-heng
36074,thòe-hiu,thoe3-hiu,thuè-hiu,thue3-hiu,V,,,退休,retire (from a position),,,288,thoe-hiu
36075,thòe-hiu-kim,thoe3-hiu-kim,thuè-hiu-kim,thue3-hiu-kim,N,,,退休金,lump sum paid on retirement,,,288,thoe-hiu-kim
36076,thòe-hòa,thoe3-hoa3,thuè-huà,thue3-hua3,V,,,退化,degenerate,,,288,thoe-hoa
36077,thòe-hóe,thoe3-hoe2,thuè-hué,thue3-hue2,VO,,,退火,reduce the hot principle in the body (Chinese medicine),,,288,thoe-hoe
36078,thòe-hóe,thoe3-hoe2,thuè-hué,thue3-hue2,V,,,後悔,regret (one's action),,,288,thoe-hoe
36079,thòe-hông,thoe3-hong5,thuè-hông,thue3-hong5,VO,,,消炎,reduce inflammation or swelling,,,288,thoe-hong
36080,thòe-īⁿ,thoe3-inn7,thuè-īnn,thue3-inn7,VO,,,出院,be discharged from hospital,,,288,thoe-i
36081,thòe-kia̍t,thoe3-kiat8,thuè-kia̍t,thue3-kiat8,VO,,,退熱,"reduce a fever, have a fever go down",,,288,thoe-kiat
36082,thòe-jīm,thoe3-jim7,thuè-jīm,thue3-jim7,VO,,,退休,resign an office,,,288,thoe-jim
36083,thòe-jīm,thoe3-jim7,thuè-jīm,thue3-jim7,VO/Presb,,,退休,be inactive (ordained minister who is not at present in active ministry under the Church),,,288,thoe-jim
36084,thòe-kē,thoe3-ke7,thuè-kē,thue3-ke7,VO,,,退潮,"ebb, recede",,,288,thoe-ke
36085,thòe-kiû,thoe3-kiu5,thuè-kiû,thue3-kiu5,V,,,代求,intercede for someone (prayer),,,288,thoe-kiu
36086,thòe-kng,thoe3-kng,thuè-kng,thue3-kng,VO,,,退光,"lose brilliance, become dim or dull",,,288,thoe-kng
36087,thòe-kóng,thoe3-kong2,thuè-kóng,thue3-kong2,V,,,替說,speak for someone else,,,288,thoe-kong
36088,thòe-khîn,thoe3-khin5,thuè-khîn,thue3-khin5,V,,,下班,"go off duty, leave work",,,288,thoe-khin
36089,thòe-khui,thoe3-khui,thuè-khui,thue3-khui,V,,,下班,"step aside, make way",,,288,thoe-khui
36090,thòe-khûn,thoe3-khun5,thuè-khûn,thue3-khun5,V,,,下班,"go off duty, leave work",,,288,thoe-khun
36091,thòe-lī,thoe3-li7,thuè-lī,thue3-li7,V,,,退離,withdraw from,,,288,thoe-li
36092,thòe-ní,thoe3-ni2,thuè-ní,thue3-ni2,VO,,,退色,fade (not color-fast),,,288,thoe-ni
36093,thòe-niū,thoe3-niu7,thuè-niū,thue3-niu7,V,,,退讓,"concede, yield",,,288,thoe-niu
36094,thòe-ngó͘,thoe3-ngoo2,thuè-ngóo,thue3-ngoo2,VO,,,退伍,retire from military service,,,288,thoe-ngo
36095,thòe-ōaⁿ,thoe3-oann7,thuè-uānn,thue3-uann7,V,,,替換,"change (clothes, guard, etc)",,,288,thoe-oa
36096,thòe-o̍h,thoe3-oh8,thuè-o̍h,thue3-oh8,VO,,,退學,drop out of school,,,288,thoe-oh
36097,thòe-o̍h,thoe3-oh8,thuè-o̍h,thue3-oh8,VO,,,退學,be expelled from school,,,288,thoe-oh
36098,thòe-pō͘,thoe3-poo7,thuè-pōo,thue3-poo7,V,,,退步,retrogress,,,289,thoe-po
36099,thòe-sek,thoe3-sek,thuè-sik,thue3-sik,VO,,,退色,"fade, lose color",,,289,thoe-sek
36100,thòe-sin,thoe3-sin,thuè-sin,thue3-sin,N,,,替身,substitute for a person (another person or a figure),,,289,thoe-sin
36101,thòe-sio,thoe3-sio,thuè-sio,thue3-sio,VO,,,退熱,"abate (fever), reduce fever",,,289,thoe-sio
36102,thòe-siok,thoe3-siok,thuè-siok,thue3-siok,V,,,退縮,"draw I, shrink back",,,289,thoe-siok
36103,thòe-sio̍k,thoe3-siok8,thuè-sio̍k,thue3-siok8,V,,,贖,"atone, redeem",,,289,thoe-siok
36104,thòe-siu,thoe3-siu,thuè-siu,thue3-siu,V,,,退修,retreat,,,289,thoe-siu
36105,thòe-siu-hōe,thoe3-siu-hoe7,thuè-siu-huē,thue3-siu-hue7,N,,,退修會,religious retreat,,,289,thoe-siu-hoe
36106,thòe-siū,thoe3-siu7,thuè-siū,thue3-siu7,V,,,代替接受,substitute in receiving,,,289,thoe-siu
36107,thòe-tiâu,thoe3-tiau5,thuè-tiâu,thue3-tiau5,VO,,,退潮,ebb(tide),,,289,thoe-tiau
36108,thòe-tn̂g,thoe3-tng5,thuè-tn̂g,thue3-tng5,VO,,,退堂,withdraw from the court,,,289,thoe-tn̂g
36109,thòe-ūi,thoe3-ui7,thuè-uī,thue3-ui7,VO,,,退位,abdicate a throne,,,289,thoe-ui
36110,thōe-thōe,thoe7-thoe7,thuē-thuē,thue7-thue7,SV,,,不銳 鈍,"dull, listless",,,289,thoe-thoe
36111,thok,thok,thok,thok,V,,,託,"commission, entrust with",,,289,thok
36112,thok-bāng,thok-bang7,thok-bāng,thok-bang7,VO,,,託夢,give instructions in a dream gods to men),,,289,thok-bang
36113,thok-jī-sò͘,thok-ji7-soo3,thok-jī-sòo,thok-ji7-soo3,N,ê,,托兒所,public (day) nursery,,,289,thok-ji-so
36114,thok-kau,thok-kau,thok-kau,thok-kau,V,,,托付,"entrust to, ahnd over to (another)",,,289,thok-kau
36115,thok-koán,thok-koan2,thok-kuán,thok-kuan2,V,,,託管,entrust management to another,,,289,thok-koan
36116,thok-koán,thok-koan2,thok-kuán,thok-kuan2,N,ê,,託管,trustee,,,289,thok-koan
36117,thok-sū,thok-su7,thok-sū,thok-su7,VO,,,託事,ask (someone) to manage a matter,,,289,thok-su
36118,thok-tiōng,thok-tiong7,thok-tiōng,thok-tiong7,V,,,托付,"entrust to, commission",,,289,thok-tiong
36119,tho̍k-bu̍t,thok8-but8,tho̍k-bu̍t,thok8-but8,N,,,讀物,reading material,,,289,thok-but
36120,tho̍k-chiá,thok8-chia2,tho̍k-tsiá,thok8-tsia2,N,ê,,讀者,reader (person),,,289,thok-chia
36121,tho̍k-keng,thok8-keng,tho̍k-king,thok8-king,VO/Xtn,,,讀經,read the Bible,,,289,thok-keng
36122,tho̍k-pún,thok8-pun2,tho̍k-pún,thok8-pun2,N,pún,,讀本,reader (book),,,289,thok-pun
36123,tho̍k-su,thok8-su,tho̍k-su,thok8-su,VO/R,,,讀書,read,,,289,thok-su
36124,tho̍k-su pò-kò,thok8-su po3-ko3,tho̍k-su pò-kò,thok8-su po3-ko3,N,,,讀書報告,book report,,,289,thok-su po-ko
36125,thong,thong,thong,thong,Det,,,全部  整個,"the whole of, all of",,,289,thong
36126,thong,thong,thong,thong,V,,,通,"go through, flow through",,,289,thong
36127,thong,thong,thong,thong,V,,,通,"get through, communicate",,,289,thong
36128,thong,thong,thong,thong,SV,,,通,"possible, passable",,,289,thong
36129,thong,thong,thong,thong,SV,,,通,"fit, suitable (of answer to a problem or riddle)",,,289,thong
36130,thong-bô͘,thong-boo5,thong-bôo,thong-boo5,V,,,共謀,conspire together,,,289,thong-bo
36131,thong-chêng,thong-cheng5,thong-tsîng,thong-tsing5,VO,,,通融,act out of sympathy (for someone),,,289,thong-cheng
36132,thong-chheng,thong-chheng,thong-tshing,thong-tshing,N,,,通稱,"alias, popular name, name by which one is commonly known",,,289,thong-chheng
36133,thong-chhó,thong-chho2,thong-tshó,thong-tsho2,N,,,蓪草,"Aralia papyrifera, used for making rice paper and artificial flowers, and also as a dessicant in coffins",,,289,thong-chho
36134,thong-chhó,thong-chho2,thong-tshó,thong-tsho2,N,,,蓪草,"rice-paper tree, Tetrapanax papyriferbus",,,289,thong-chho
36135,thong-chhó,thong-chho2,thong-tshó,thong-tsho2,N,,,蓪草,"Taiwan five-leaf akebia, Akebia longeracemosa",,,289,thong-chho
36136,thong-e̍k,thong-ek8,thong-i̍k,thong-ik8,V,,,翻譯,interpret,,,289,thong-ek
36137,thong-e̍k,thong-ek8,thong-i̍k,thong-ik8,N,ê,,翻譯,interpreter,,,289,thong-ek
36138,thong-e̍k-koaⁿ,thong-ek8-koann,thong-i̍k-kuann,thong-ik8-kuann,N,ê,,翻譯官,interpreter,,,289,thong-ek-koa
36139,thong-ēng,thong-eng7,thong-īng,thong-ing7,V/SV,,,通用的,"(be) current, (be) in general use",,,289,thong-eng
36140,thong-hā,thong-ha7,thong-hā,thong-ha7,N,châng,,台灣黃杉、威氏黃杉,"Taiwan douglas fir, Wilson's pserdo-tsuga, Pseudotsuga wilsoniana",,,289,thong-ha
36141,thong-ha̍k-seng,thong-hak8-seng,thong-ha̍k-sing,thong-hak8-sing,N,ê,,通學生,"non-resident, student who lives off campus",,,289,thong-hak-seng
36142,thong-hāng,thong-hang7,thong-hāng,thong-hang7,N,tiâu,,通巷,"public lane, thoroughfare",,,289,thong-hang
36143,thong-hêng,thong-heng5,thong-hîng,thong-hing5,V/SV,,,通行,"(be) current, (be) in general use",,,289,thong-heng
36144,thong-hong,thong-hong,thong-hong,thong-hong,V/SV,,,通風,"(be) open to the air, (be) well ventilated",,,289,thong-hong
36145,thong-hun,thong-hun,thong-hun,thong-hun,V,,,通婚,"marry a person of another race, practise miscegenation",,,289,thong-hun
36146,thong-îⁿ,thong-inn5,thong-înn,thong-inn5,N,ki,,橫樑,through beam,,,289,thong-i
36147,thong-hiông,thong-hiong5,thong-hiông,thong-hiong5,V,,,妥協、通融,"make a temporary arrangement, compromise",,,289,thong-hiong
36148,thong-iōng,thong-iong7,thong-iōng,thong-iong7,V/SV/R,,,通用,"(be) current, (be) in general use",,,289,thong-iong
36149,thong-jiō-koán,thong-jio7-koan2,thong-jiō-kuán,thong-jio7-kuan2,N/Med,,,輸尿管,uretheral catheter,,,289,thong-jio-koan
36150,thong-ji̍t,thong-jit8,thong-ji̍t,thong-jit8,Nt,,,整日,whole day,,,289,thong-jit
36151,thong-kan,thong-kan,thong-kan,thong-kan,V,,,通姦,commit adultery,,,289,thong-kan
36152,thong-kè,thong-ke3,thong-kè,thong-ke3,V,,,通過,pass through,,,289,thong-ke
36153,thong-kè,thong-ke3,thong-kè,thong-ke3,V,,,通過,pass (a motion),,,289,thong-ke
36154,thong-kè,thong-ke3,thong-kè,thong-ke3,V,,,通過,"approve (application, etc)",,,289,thong-ke
36155,thong-kè-sè,thong-ke3-se3,thong-kè-sè,thong-ke3-se3,N,,,通行稅,toll,,,289,thong-ke-se
36156,thong-kò,thong-ko3,thong-kò,thong-ko3,V,,,通告,"inform, notify",,,289,thong-ko
36157,thong-kòe,thong-koe3,thong-kuè,thong-kue3,V,,,通過,pass through,,,289,thong-koe
36158,thong-kòe,thong-koe3,thong-kuè,thong-kue3,V,,,通過,pass (a motion),,,289,thong-koe
36159,thong-kòe,thong-koe3,thong-kuè,thong-kue3,V,,,通過,"approve (application, etc)",,,289,thong-koe
36160,thong-kok,thong-kok,thong-kok,thong-kok,N,,,全國,"whole country, whole nation",,,289,thong-kok
36161,thong-khì,thong-khi3,thong-khì,thong-khi3,V/SV,,,通氣,"(be) open for the passage of air, gas, smoke, etc",,,289,thong-khi
36162,thong-khîn/kûn,thong-khin5/kun5,thong-khîn/kûn,thong-khin5/kun5,V,,,上下班,go to work (not live on the premises),,,289,thong-khin/kun
36163,thong-liông,thong-liong5,thong-liông,thong-liong5,V,,,妥協,compromise,,,289,thong-liong
36164,thong-lō͘,thong-loo7,thong-lōo,thong-loo7,N,tiâu,,通路,"channel, passage, thoroughfare",,,289,thong-lo
36165,thong-niû,thong-niu5,thong-niû,thong-niu5,N,ki,,橫樑,through beam,,,289,thong-niu
36166,thong-óng,thong-ong2,thong-óng,thong-ong2,V,,,通往,"lead to, be open to (a place, of a raod)",,,289,thong-ong
36167,thong-pīⁿ,thong-pinn7,thong-pīnn,thong-pinn7,N,,,通病,"common abuse, common evil (bribery, prostitution, etc)",,,289,thong-pi
36168,thong-pò,thong-po3,thong-pò,thong-po3,V,,,通報,"inform, notify",,,289,thong-po
36169,thong-phe/phoe,thong-phe/phoe,thong-phe/phue,thong-phe/phue,VO,,,通信,communicate by letter,,,289,thong-phe/phoe
36170,thong-sim-hún,thong-sim-hun2,thong-sim-hún,thong-sim-hun2,N,,,通心粉,macaroni,,,289,thong-sim-hun
36171,thong-sìn,thong-sin3,thong-sìn,thong-sin3,VO,,,通訊,communicate,,,289,thong-sin
36172,thong-sìn,thong-sin3,thong-sìn,thong-sin3,N,,,通訊,communication,,,289,thong-sin
36173,thong-sìn-chhù,thong-sin3-chhu3,thong-sìn-tshù,thong-sin3-tshu3,N,,,通訊處,one's postal address,,,289,thong-sin-chhu
36174,thong-sìn-oân,thong-sin3-oan5,thong-sìn-uân,thong-sin3-uan5,N,ê,,通信員,"correspondent, reporter",,,289,thong-sin-oan
36175,thong-sìn-siā,thong-sin3-sia7,thong-sìn-siā,thong-sin3-sia7,N,,,通訊社,news service,,,289,thong-sin-sia
36176,thong-sio̍k,thong-siok8,thong-sio̍k,thong-siok8,SV,,,通俗,"common, popular",,,289,thong-siok
36177,thong-siong,thong-siong,thong-siong,thong-siong,VO,,,通商,engage in international commerce,,,289,thong-siong
36178,thong-siong-po͘-thâu,thong-siong-poo-thau5,thong-siong-poo-thâu,thong-siong-poo-thau5,N,,,通商港埠,international port,,,289,thong-siong-po-thau
36179,thong-siông,thong-siong5,thong-siông,thong-siong5,Smod/Pmod,,,通常,"oridnarily, usually",,,289,thong-siong
36180,thong-siú,thong-siu2,thong-siú,thong-siu2,VO,,,拱手,put each hand in the sleeve of the other arm (in making of formal bow),,,289,thong-siu
36181,thong-sū,thong-su7,thong-sū,thong-su7,N,ê,,通事,interpreter,,,289,thong-su
36182,thong-sūn,thong-sun7,thong-sūn,thong-sun7,SV,,,通順,"smooth, consistent, in concord",,,289,thong-sun
36183,thong-tāi-piān,thong-tai7-pian7,thong-tāi-piān,thong-tai7-pian7,VO,,,通大便,have a bowel movement,,,289,thong-tai-pian
36184,thong-ta̍t,thong-tat8,thong-ta̍t,thong-tat8,V,,,通達,"understand thoroughly, be thoroughly versed in",,,289,thong-tat
36185,thong-ti,thong-ti,thong-ti,thong-ti,V,,,通知,"inform, notify",,,289,thong-ti
36186,thong-ti-su,thong-ti-su,thong-ti-su,thong-ti-su,N,tiuⁿ,,通知書,printed notice,,,289,thong-ti-su
36187,thong-tiān,thong-tian7,thong-tiān,thong-tian7,VO,,,通電,conduct electricity,,,289,thong-tian
36188,thong-tiān,thong-tian7,thong-tiān,thong-tian7,VO,,,通電,make a long-distance call,,,289,thong-tian
36189,thong-tiān,thong-tian7,thong-tiān,thong-tian7,VO,,,通電,send a telegram,,,289,thong-tian
36190,thong-tia̍p,thong-tiap8,thong-tia̍p,thong-tiap8,N,,,通牒,notification,,,289,thong-tiap
36191,thong-tn̂g,thong-tng5,thong-tn̂g,thong-tng5,V,,,洗腸,give an enema,,,289,thong-tn̂g
36192,thong-to͘,thong-too,thong-too,thong-too,N,,,通都,a city at the hub of a network of communications,,,289,thong-to
36193,thong-thàu,thong-thau3,thong-thàu,thong-thau3,SV,,,通達,intelligent,,,289,thong-thau
36194,thong-thiⁿ-ē,thong-thinn-e7,thong-thinn-ē,thong-thinn-e7,N,,,全天下,"whole world, everything under heaven",,,289,thong-thi-e
36195,thong-thò,thong-tho3,thong-thò,thong-tho3,V,,,陰謀,"conspire, plot",,,289,thong-tho
36196,thong-thong,thong-thong,thong-thong,thong-thong,Pmod,,,通通,"altogether, entirely",,,289,thong-thong
36197,thóng,thong2,thóng,thong2,V,,,啄,peck (birds),,,289,thong
36198,thóng,thong2,thóng,thong2,V,,,突出,"protrude, sitck out",,,289,thong
36199,thóng-chè-chiá,thong2-che3-chia2,thóng-tsè-tsiá,thong2-tse3-tsia2,N,ê,,統治者,ruler,,,289,thong-che-chia
36200,thóng-hat,thong2-hat,thóng-hat,thong2-hat,V,,,統轄,"govern, rule",,,289,thong-hat
36201,thóng-it,thong2-it,thóng-it,thong2-it,V,,,統一,"make uniform, standardize, unify",,,289,thong-it
36202,thóng-kè,thong2-ke3,thóng-kè,thong2-ke3,N,,,統計,statistics,,,289,thong-ke
36203,thóng-kè-piáu,thong2-ke3-piau2,thóng-kè-piáu,thong2-ke3-piau2,N,,,統計表,statistical table,,,289,thong-ke-piau
36204,thóng-kè-su,thong2-ke3-su,thóng-kè-su,thong2-ke3-su,N,,,統計書,complete statistical report,,,289,thong-ke-su
36205,thóng-kiōng,thong2-kiong7,thóng-kiōng,thong2-kiong7,Pmod,,,一共,altogether in all,,,289,thong-kiong
36206,thóng-léng,thong2-leng2,thóng-líng,thong2-ling2,V,ê,,統領,"commander-in-chief, executive director, general manager",,,289,thong-leng
36207,thóng-lí,thong2-li2,thóng-lí,thong2-li2,N,ê,,統理,prime minister,,,289,thong-li
36208,thóng-tī,thong2-ti7,thóng-tī,thong2-ti7,V,,,統治,"govern, manage, rule",,,289,thong-ti
36209,thóng-tī-chiá,thong2-ti7-chia2,thóng-tī-tsiá,thong2-ti7-tsia2,N,ê,,統治者,"ruler, sovereign",,,289,thong-ti-chia
36210,thóng-thâu,thong2-thau5,thóng-thâu,thong2-thau5,VO,,,伸出頭,"project, sitck out",,,289,thong-thau
36211,thóng-thâu,thong2-thau5,thóng-thâu,thong2-thau5,VO,,,伸出頭,appear,,,289,thong-thau
36212,thóng-thâu,thong2-thau5,thóng-thâu,thong2-thau5,VO,,,伸出頭,exceed (a certain number),,,289,thong-thau
36213,thòng-thhiat,thong3-thhiat,thòng-thhiat,thong3-thhiat,Pmodi,,,痛切,"abutely, keenly",,,289,thong-thhiat
36214,thòng-hīn/hūn,thong3-hin7/hun7,thòng-hīn/hūn,thong3-hin7/hun7,V,,,痛恨,gate bitterly,,,289,thong-hin/hun
36215,thòng-hóe,thong3-hoe2,thòng-hué,thong3-hue2,V,,,痛悔,"regret, repent bitterly",,,289,thong-hoe
36216,thòng-khoài,thong3-khoai3,thòng-khuài,thong3-khuai3,SV,,,痛快,"delighted, happy",,,289,thong-khoai
36217,thòng-khó͘,thong3-khoo2,thòng-khóo,thong3-khoo2,SV,,,痛苦,"miserable, suffering, in torment",,,289,thong-kho
36218,thòng-sim,thong3-sim,thòng-sim,thong3-sim,SV,,,痛心,pained at heart,,,289,thong-sim
36219,thōng,thong7,thōng,thong7,M,,,堆,pile,,,289,thong
36220,thōng,thong7,thōng,thong7,V,,,堆,pile(one thing on another),,,289,thong
36221,thu-chhâm-ngô͘,thu-chham5-ngoo5,thu-tshâm-ngôo,thu-tsham5-ngoo5,N/Ent,chiah,,蠶蛾,"a moth that attacks the castor bean plant and the tallow tree, Samia cynthia pryeri",,,289,thu-chham-ngo
36222,thú-chêng-si,thu2-cheng5-si,thú-tsîng-si,thu2-tsing5-si,N,,,抒情詩,"lyric poetry, a lyric",,,289,thu-cheng-si
36223,thú-chông,thu2-chong5,thú-tsông,thu2-tsong5,V,,,儲藏,"save up, store up",,,289,thu-chong
36224,thú-chông-sek,thu2-chong5-sek,thú-tsông-sik,thu2-tsong5-sik,N,,,儲藏室,store room,,,289,thu-chong-sek
36225,thú-chông-só͘,thu2-chong5-soo2,thú-tsông-sóo,thu2-tsong5-soo2,N,,,儲藏所,"storage area, storehouse",,,289,thu-chong-so
36226,thú-chúi-tî,thu2-chui2-ti5,thú-tsuí-tî,thu2-tsui2-ti5,N,,,蓄水池,"cistern, reservoir, water-storage tank",,,289,thu-chui-ti
36227,thú-môa,thu2-moa5,thú-muâ,thu2-mua5,N,châng/tiâu,,苧麻,"China grass, ramie, Boehmeria frutescens var. concolor",,,289,thu-moa
36228,thú-thiok,thu2-thiok,thú-thiok,thu2-thiok,V,,,儲蓄,save (money),,,289,thu-thiok
36229,thú-thiok,thu2-thiok,thú-thiok,thu2-thiok,N,,,儲蓄,savings,,,289,thu-thiok
36230,thû,thu5,thû,thu5,V,,,鋤,"dig up, root out",,,289,thu
36231,thû-chháu,thu5-chhau2,thû-tsháu,thu5-tshau2,VO,,,鋤草,root out weeds,,,289,thu-chhau
36232,thû-kim,thu5-kim,thû-kim,thu5-kim,VO,,,儲金,have a savings account,,,289,thu-kim
36233,thû-thâu,thu5-thau5,thû-thâu,thu5-thau5,N,ki,,鋤頭,hoe (pref ti5/tu5-thau5),,,289,thu-thau
36234,thû-thóaⁿ,thu5-thoann2,thû-thuánn,thu5-thuann2,V,,,鏟鋤,"root out, dig up (with a hoe)",,,289,thu-thoa
36235,thū,thu7,thū,thu7,V,,,廢寢,neglect sleep,,,289,thu
36236,thū-bîn,thu7-bin5,thū-bîn,thu7-bin5,VO,,,廢寢,neglect sleep,,,289,thu-bin
36237,thuh,thuh,thuh,thuh,V,,,剷,"pick, shovel",,,289,thuh
36238,thuh,thuh,thuh,thuh,V,,,扥,"prop up, support",,,289,thuh
36239,thuh,thuh,thuh,thuh,V,,,扥,lean on (a prop or support),,,289,thuh
36240,thuh-á,thuh-a2,thuh-á,thuh-a2,N,ki,,鏟子,"shovel, spade",,,290,thuh-a
36241,thuh-chhù,thuh-chhu3,thuh-tshù,thuh-tshu3,VO,,,支撐著房屋,prop up a house,,,290,thuh-chhu
36242,thuh-hia̍h,thuh-hiah8,thuh-hia̍h,thuh-hiah8,SV,,,禿頭,bald (from thut-hiah8 by assimilation),,,290,thuh-hiah
36243,thu̍h-thu̍h,thuh8-thuh8,thu̍h-thu̍h,thuh8-thuh8,Svmod,,,土土,"dull, quiet, stupid",,,290,thuh-thuh
36244,thui,thui,thui,thui,V,,,槌,"rub with a gentle movement, massage",,,290,thui
36245,thui,thui,thui,thui,V,,,推,"calculate, guess",,,290,thui
36246,thui,thui,thui,thui,N,ki,,梯,ladder,,,290,thui
36247,thui-chiàn,thui-chian3,thui-tsiàn,thui-tsian3,V,,,推薦,recommend,,,290,thui-chian
36248,thui-chiàn,thui-chian3,thui-tsiàn,thui-tsian3,N,,,推薦,recommendation,,,290,thui-chian
36249,thui-chiàn-su,thui-chian3-su,thui-tsiàn-su,thui-tsian3-su,N,tiuⁿ,,推薦書,letter of recommendation,,,290,thui-chian-su
36250,thui-chìn,thui-chin3,thui-tsìn,thui-tsin3,V,,,推進,"drive, propel",,,290,thui-chin
36251,thui-chìn-ki,thui-chin3-ki,thui-tsìn-ki,thui-tsin3-ki,N,ê,,推進器,propeller (of a ship),,,290,thui-chin-ki
36252,thui-chìn-ki,thui-chin3-ki,thui-tsìn-ki,thui-tsin3-ki,N,,,推進器,"propulsion system (of airplane, includes propeller and engine jet, etc)",,,290,thui-chin-ki
36253,thui-chun,thui-chun,thui-tsun,thui-tsun,VO,,,推尊,give (someone) the place of honor,,,290,thui-chun
36254,thui-chhek,thui-chhek,thui-tshik,thui-tshik,V/N,,,推測,"conjecture, guess (syn ek-chhek)",,,290,thui-chhek
36255,thui-chhut,thui-chhut,thui-tshut,thui-tshut,V,,,推出,"deduce, infer",,,290,thui-chhut
36256,thui-hêng,thui-heng5,thui-hîng,thui-hing5,V,,,推行,"carry out, implement (plan, movement, etc)",,,290,thui-heng
36257,thui-hoan,thui-hoan,thui-huan,thui-huan,V,,,推翻,"push over, overthrow (idea, theory, dynasty)",,,290,thui-hoan
36258,thui-kóng,thui-kong2,thui-kóng,thui-kong2,V,,,推廣,"extend (use of a new method, new mechanism, etc. syn thui-tian2)",,,290,thui-kong
36259,thui-kú,thui-ku2,thui-kú,thui-ku2,V,,,推舉,recommend for promotion,,,290,thui-ku
36260,thui-kha,thui-kha,thui-kha,thui-kha,Np,,,梯腳,bottom of a ladder,,,290,thui-kha
36261,thui-khoah,thui-khoah,thui-khuah,thui-khuah,V,,,推廣,expand,,,290,thui-khoah
36262,thui-lí,thui-li2,thui-lí,thui-li2,VO,,,推理,follow a line of reasoning,,,290,thui-li
36263,thui-pâi,thui-pai5,thui-pâi,thui-pai5,V,,,安排,"arrange ( a matter), assign (persons to jobs)",,,290,thui-pai
36264,thui-pâi,thui-pai5,thui-pâi,thui-pai5,N,,,安排,"arrangement, ordering",,,290,thui-pai
36265,thui-phài,thui-phai3,thui-phài,thui-phai3,V,,,推銷,delegate someone (after conslultation),,,290,thui-phai
36266,thui-siau,thui-siau,thui-siau,thui-siau,V,,,推銷,press a sale,,,290,thui-siau
36267,thui-sióng,thui-siong2,thui-sióng,thui-siong2,V,,,推想,"conjecture, infer (from)",,,290,thui-siong
36268,thui-sǹg,thui-sng3,thui-sǹg,thui-sng3,V,,,推算,"calculate, reckon, figure out (using arithmetic)",,,290,thui-sng
36269,thui-sǹg,thui-sng3,thui-sǹg,thui-sng3,N,,,推算,"calculation, reckoning",,,290,thui-sng
36270,thui-sû,thui-su5,thui-sû,thui-su5,V,,,推辭,"decline (an invitation), refuse",,,290,thui-su
