id,poj_unicode,poj_input,kip_unicode,kip_input,abbreviations,noun_classifiers,reduplication,hoabun,english,synonym,cf,page_number,poj_normalized
14397,ji̍p-ha̍k,jip8-hak8,ji̍p-ha̍k,jip8-hak8,VO,,,入學,start to school,,,118,jip-hak
14398,ji̍p-hōe,jip8-hoe7,ji̍p-huē,jip8-hue7,VO,,,入會,enter a society or the Church,,,118,jip-hoe
14399,ji̍p-īⁿ,jip8-inn7,ji̍p-īnn,jip8-inn7,VO,,,入院,enter the hospital,,,118,jip-i
14400,ji̍p-iâⁿ,jip8-iann5,ji̍p-iânn,jip8-iann5,VO,,,入營,enter military service,,,118,jip-ia
14401,ji̍p-káng,jip8-kang2,ji̍p-káng,jip8-kang2,VO,,,入港,enter port or harbor,,,118,jip-kang
14402,ji̍p-kàu,jip8-kau3,ji̍p-kàu,jip8-kau3,VO,,,入教,enter the Church (used by non-Christians),,,118,jip-kau
14403,ji̍p-kéng,jip8-keng2,ji̍p-kíng,jip8-king2,VO,,,入境,"cross the border, enter a country",,,118,jip-keng
14404,ji̍p-kéng-chèng,jip8-keng2-cheng3,ji̍p-kíng-tsìng,jip8-king2-tsing3,N,,,入境證,entry visa,,,118,jip-keng-cheng
14405,ji̍p-kiong,jip8-kiong,ji̍p-kiong,jip8-kiong,VO,,,入宮,have an audience with the emperor,,,118,jip-kiong
14406,ji̍p-kiong,jip8-kiong,ji̍p-kiong,jip8-kiong,VO,,,入宮,enter the imperial harem,,,118,jip-kiong
14407,ji̍p-kháu,jip8-khau2,ji̍p-kháu,jip8-khau2,N,,,入口,the entrance,,,118,jip-khau
14408,ji̍p-khoán,jip8-khoan2,ji̍p-khuán,jip8-khuan2,VO,,,存款,deposit money ( in a checking account),,,118,jip-khoan
14409,ji̍p-liám/liām,jip8-liam2/liam7,ji̍p-liám/liām,jip8-liam2/liam7,V,,,入殮,encoffin,,,118,jip-liam/liam
14410,ji̍p-mn̂g,jip8-mng5,ji̍p-mn̂g,jip8-mng5,VO,,,入門,enter a door,,,118,jip-mn̂g
14411,ji̍p-mn̂g,jip8-mng5,ji̍p-mn̂g,jip8-mng5,VO,,,入門,enter a family by narriage (said only of a woman),,,118,jip-mn̂g
14412,ji̍p-mn̂g,jip8-mng5,ji̍p-mn̂g,jip8-mng5,N,,,入門,"introduction, manual, primer",,,118,jip-mn̂g
14413,ji̍p-mn̂g chhú-chiàⁿ,jip8-mng5 chhu2-chiann3,ji̍p-mn̂g tshú-tsiànn,jip8-mng5 tshu2-tsiann3,Sph,,,從良,a prostitute becomes an honest woman,,,118,jip-mn̂g chhu-chia
14414,ji̍p-ngó͘,jip8-ngoo2,ji̍p-ngóo,jip8-ngoo2,VO,,,入伍,enter military services,,,118,jip-ngo
14415,ji̍p-o̍h,jip8-oh8,ji̍p-o̍h,jip8-oh8,VO,,,入學,start to school,,,118,jip-oh
14416,ji̍p-pín,jip8-pin2,ji̍p-pín,jip8-pin2,VO,,,請願,submit a petition,,,118,jip-pin
14417,ji̍p-sè,jip8-se3,ji̍p-sè,jip8-se3,VO,,,入世,be born,,,118,jip-se
14418,ji̍p-sè,jip8-se3,ji̍p-sè,jip8-se3,VO,,,入世,be involved in human affairs,,,118,jip-se
14419,ji̍p-sek,jip8-sek,ji̍p-sik,jip8-sik,VO,,,收利息,receive interest (on an investment),,,118,jip-sek
14420,ji̍p-se̍k,jip8-sek8,ji̍p-si̍k,jip8-sik8,VO,,,入席,come in and take a seat (banquet),,,118,jip-sek
14421,ji̍p-siaⁿ,jip8-siann,ji̍p-siann,jip8-siann,N Gram,,,入聲,"""entering"" tone",,,118,jip-sia
14422,ji̍p-siàu,jip8-siau3,ji̍p-siàu,jip8-siau3,VO,,,進帳,receive (money on) account,,,118,jip-siau
14423,ji̍p-sìn,jip8-sin3,ji̍p-sìn,jip8-sin3,VO,,,入教,"become a Christian, join the church",,,118,jip-sin
14424,ji̍p-sîn,jip8-sin5,ji̍p-sîn,jip8-sin5,SV,,,入神,"charmed, enraptured, lost (in thought)",,,118,jip-sin
14425,ji̍p-soán,jip8-soan2,ji̍p-suán,jip8-suan2,VO,,,入選,"be chosen, be elected",,,118,jip-soan
14426,ji̍p-tiûⁿ-khg/koàn,jip8-tiunn5-khg3/koan3,ji̍p-tiûnn-khg/kuàn,jip8-tiunn5-khg3/kuan3,N,tiuⁿ,,入場券,admission ticket,,,118,jip-tiu-khg/koan
14427,ji̍p-tiûⁿ-phiò,jip8-tiunn5-phio3,ji̍p-tiûnn-phiò,jip8-tiunn5-phio3,N,tiuⁿ,,入場票,admission ticket,,,118,jip-tiu-phio
14428,ji̍t,jit8,ji̍t,jit8,M,,,日,day,,,118,jit
14429,ji̍t,jit8,ji̍t,jit8,N,,,日,"sun, day, date",,,118,jit
14430,ji̍t,jit8,ji̍t,jit8,Nmod,,,日,solar,,,118,jit
14431,ji̍t-àm,jit8-am3,ji̍t-àm,jit8-am3,Nt,,,天黑,evening,,,118,jit-am
14432,hi̍t-chek goa̍t-lúi,hit8-chek goat8-lui2,hi̍t-tsik gua̍t-luí,hit8-tsik guat8-lui2,Sph,,,日積月累,accumulate gradually over a period of time,,,118,hit-chek goat-lui
14433,ji̍t-chèng,jit8-cheng3,ji̍t-tsìng,jit8-tsing3,Nmod,,,日據時代,Japnaese era (in Taiwan),,,118,jit-cheng
14434,ji̍t-chí,jit8-chi2,ji̍t-tsí,jit8-tsi2,N,,,日子,day,,,118,jit-chi
14435,ji̍t-chì,jit8-chi3,ji̍t-tsì,jit8-tsi3,N,,,日誌,"(chip""s) log, journal, record book",,,118,jit-chi
14436,ji̍t-chhun/ji̍t-chhun-hoe,jit8-chhun/jit8-chhun-hoe,ji̍t-tshun/ji̍t-tshun-hue,jit8-tshun/jit8-tshun-hue,N,châng,,日春花,"periwinkle, Vinca resea",,,118,jit-chhun/jit-chhun-hoe
14437,ji̍t-chhut,jit8-chhut,ji̍t-tshut,jit8-tshut,N,,,日出,sunrise (cf jit8-loh8),,,118,jit-chhut
14438,ji̍t-ēng,jit8-eng7,ji̍t-īng,jit8-ing7,Nmod,,,日用,(things) used daily,,,118,jit-eng
14439,Ji̍t-goa̍t-thâm,Jit8-goat8-tham5,Ji̍t-gua̍t-thâm,Jit8-guat8-tham5,N,,,日月潭,Sun-Moon Lake,,,118,Jit-goat-tham
14440,Ji̍t-gú,Jit8-gu2,Ji̍t-gú,Jit8-gu2,N,,,日語,Japanese speken language,,,118,Jit-gu
14441,ji̍t-hâⁿ-o͘,jit8-hann5-oo,ji̍t-hânn-oo,jit8-hann5-oo,Nt,,,黃昏,dusk,,,118,jit-ha-o
14442,ji̍t-hoe-á,jit8-hoe-a2,ji̍t-hue-á,jit8-hue-a2,N,,,晁一下太陽,cloudy day with bright intervals,,,118,jit-hoe-a
14443,ji̍t-iáⁿ,jit8-iann2,ji̍t-iánn,jit8-iann2,N,,,日影,shadow cast by sunlight,,,118,jit-ia
14444,ji̍t-iáⁿ,jit8-iann2,ji̍t-iánn,jit8-iann2,N,,,日影,sunlight (which casts shadows),,,118,jit-ia
14445,ji̍t-iōng,jit8-iong7,ji̍t-iōng,jit8-iong7,Nmod,,,日用,"for daily use, daily",,,118,jit-iong
